,prompt,queries,responses,expected_responses
0,I would really appreciate if you could answer this question," did you see the 15 sec clip of the New Moon trailer?? its up on ETonline.com ...check it out. its a big tease, though",Positive,negative
1,I would really appreciate if you could answer this question,i need to get my computer fixed,Neutral,neutral
2,I would really appreciate if you could answer this question,Finally got a call for marriage counseling 3 days late....,Neutral,neutral
3,I would really appreciate if you could answer this question,and this terrible cartoon that`s supposed to be mexican.,Negative,negative
4,I would really appreciate if you could answer this question,You know your neck is jacked up when you are forced to pay for parking bc you can`t turn you head to parallel park in the free spaces...,Negative,negative
5,I would really appreciate if you could answer this question,"Thats it, its the end. Tears for Fears vs Eric Prydz, DJ Hero   http://bit.ly/2Hpbg4",Neutral,neutral
6,I would really appreciate if you could answer this question," I`ve been unlocked for decades now...just not lucky, never have been.  Gottta make my own luck and that involves $$$$$",Neutral,negative
7,I would really appreciate if you could answer this question,.....headache,Negative,negative
8,I would really appreciate if you could answer this question, oh just referring to our lil exchange on LJ with regards to twitter archive postings.,Neutral,neutral
9,I would really appreciate if you could answer this question,In Arch. Drawing. Checking out MVCC`s CAD degree. Looks good to me,Positive,positive
10,I would really appreciate if you could answer this question,"It`s a Peter & Gordon morning  -> And I, go to pieces and I wanna hide / Go to pieces and I almost die / Ever... ? http://blip.fm/~5yk38",Negative,neutral
11,I would really appreciate if you could answer this question,can`t school just be done already? it hurts too much... seeing him every day,Negative,positive
12,I would really appreciate if you could answer this question," Awww. Don`t mean to sound like an overgrown age 37 baby, but I`m still stick. Not as bad as yesterday, but still bad.",Negative,negative
13,I would really appreciate if you could answer this question, I`ll be listening!,Neutral,neutral
14,I would really appreciate if you could answer this question,"Didn`t get bitten by a rabies infested person last night  yay for me! Gonna scare Rachel with Quarantine tonight, this shall be fun",Positive,neutral
15,I would really appreciate if you could answer this question, nice beta for easports still no news on the online for madden,Neutral,neutral
16,I would really appreciate if you could answer this question, Do a tour in the Philippines sometime.  A lot of fans here would really love that!,Positive,positive
17,I would really appreciate if you could answer this question, yea so wassup,Neutral,neutral
18,I would really appreciate if you could answer this question,The exception for a short dude: Larenz fineass Tate yum,Positive,neutral
19,I would really appreciate if you could answer this question, I created my account just to get a chance to chat with you (: I ADMIRE YOU! you`re amazing! you inspire me to write  <3,Positive,positive
20,I would really appreciate if you could answer this question,"Twitter, you just fail at life sometimes.  Oh well. http://tinyurl.com/qkxh7q",Negative,negative
21,I would really appreciate if you could answer this question,I love when ryans a housewife. Makes me smile.,Positive,positive
22,I would really appreciate if you could answer this question," Poor you  Get outside and sleep in the garden, the sun will do you good. But don`t forget suncream!!!",Positive,negative
23,I would really appreciate if you could answer this question,I`m sleepy but is feeling under the weather! ugh! These **** tonsils. I need some company or somebody to talk too!,Neutral,negative
